"Species","code","family","group","nat.inv","morph.mass.mg","chem.mass.mg","set.time.mpsec","height.cm","shape.m","size.mm.m","area.mm2.m","shape.c","size.mm.c","area.mm2.c","appendage type","smooth.coarse","appendage","prop.C","prop.N","cn","ldd","disp","ldd2","wing.loading.c","wing.loading.m","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","mucilage","fleshy.end","starchy.end"
"Abronia villosa","ABRVIL","Nyctaginaceae","forb","native",213.86,19.27,215.799128474682,80,0.00775500359759509,10.8171876,227.532328,0.0736186053598189,2.9026046,10.5313656,"flat appendage",1,"wing",0.422656153370439,0.0299134199134199,14.1293156915443,2,"wind","wind",1.82977219972308,0.939910393744136,240.422910315407,2.11777771762598,0.012,NA,NA,0,1,1
"Achyrachaena mollis","ACHMOL","Asteraceae","forb","native",40.2923076923077,29.57,208.262349055602,14.25,0.0987545904026389,14.460952,124.719939,0.153171069447758,7.36065015,22.153808,"flat appendage",1,"pappus",0.490353708791209,0.0354567307692308,13.8296368038741,2,"wind","wind",1.33475924319647,0.323062278697135,82.880002198149,1,NA,0.0612,NA,0,0,NA
"Achyronychia cooperi","ACHCOO","Caryophyllaceae","forb","native",1.2428,1.2428,162.192254683976,10,0.0550251889396957,0.92617447,1.1609874,0.0550251889396957,0.92617447,1.1609874,"no appendage",0,"none",0.420037792894936,0.0268556311413454,15.6405854207712,1,"unassisted","unassisted",1.07046812049812,1.07046812049812,48.9436696635592,1.46956611585424,0.006,NA,NA,0,1,1
"Acmispon americanus","ACMAME","Fabaceae","forb","native",51.31,51.31,279.529551559551,16.75,0.0370322658450459,2.7541505,14.6231002,0.0370322658450459,2.7541505,14.6231002,"no appendage",0,"none",0.44360827927093,0.078736484399135,5.63408796641425,1,"unassisted","unassisted",3.50883186863481,3.50883186863481,23.2090582806423,1,0.0216,NA,NA,0,0,0
"Acmispon maritimus var. brevivexillus","ACMMARB","Fabaceae","forb","native",23.15,23.15,287.163282051282,3.94,0.0296577455429166,2.1293152,9.3464206,0.0296577455429166,2.1293152,9.3464206,"no appendage",0,"none",0.465489073881374,0.0611576482830385,7.61129780084223,1,"unassisted","unassisted",2.47688403836652,2.47688403836652,69.298378627201,0.980614067593081,0.0436,NA,NA,0,0,0
"Acmispon strigosus","ACMSTR","Fabaceae","forb","native",15.7,15.7,280.781856749221,26.5,0.0114431424129811,1.60418735,6.12699734,0.0114431424129811,1.60418735,6.12699734,"no appendage",1,"none",0.437846200980392,0.0479779411764706,9.12598978288634,1,"unassisted","unassisted",2.56242970720794,2.56242970720794,16.9290472594191,0.967704181471898,0.0302,NA,NA,0,0,0
"Acmispon wrangelianus","ACMWRA","Fabaceae","forb","native",23.06,23.06,237.291350913938,8.91916666675,0.0332339620213728,2.344241,10.1963442,0.0332339620213728,2.344241,10.1963442,"no appendage",0,"none",0.436077217801356,0.0528824049513705,8.24616842222594,2,"ant","ant",2.26159489594319,2.26159489594319,28.9427282017462,0.976977100229508,0.0414,NA,NA,0,0,1
"Aegilops triuncialis","AEGTRI","Poaceae","grass","invasive",504.95,125.8,372.338132523018,47.8333333333333,0.147218803038937,56.492215,316.292104,0.126364850263605,7.3794839,42.3446204,"elongated appendage",1,"awn",0.421786667697618,0.0333363257143381,12.745069896889,4,"adhesive","adhesive",2.97086144146896,1.59646729593983,49.457598258894,0.344965005060317,NA,NA,0.021,0,0.5,1
"Agoseris heterophylla","AGOHET","Asteraceae","forb","native",4.1812,4.1812,173.120060776782,17.9733333333333,0.173120451063133,13.9325,17.5067164,0.15131790522253,2.9912335,4.1372946,"elongated appendage",1,"plume",0.424710335747202,0.0384002633311389,11.0600891479513,2,"wind","wind",1.0106121038613,0.238834051141652,100.065554070011,1,NA,0.0686,NA,0,NA,NA
"Aliciella latifolia ssp. latifolia","ALILATL","Polemoniaceae","forb","native",0.556,0.556,122.776924827713,20,0.0229282695368287,0.73119042,1.040804,0.0229282695368287,0.73119042,1.040804,"no appendage",0,"none",0.404399872652022,0.0352403693091372,11.4754720390279,1,"unassisted","unassisted",0.534202405063777,0.534202405063777,101.28863003991,0.912852495691057,0.0042,NA,NA,0,1,0
"Amaranthus fimbriatus","AMAFIM","Amaranthaceae","forb","native",1.621,1.621,180.372841693344,65,0.0203008712075055,0.77328926,1.3424408,0.0203008712075055,0.77328926,1.3424408,"no appendage",0,"none",0.439505141388175,0.0354916452442159,12.3833408782254,3,"ant","ant",1.20750203658888,1.20750203658888,25.1490512637735,2.64460066383593,0.009,NA,NA,0,1,1
"Amaranthus hybridus","AMAHYB","Amaranthaceae","forb","native",4.8303,4.8303,252.742306186651,59.6875,0.0383663837124402,1.07241265,2.46218886,0.0383663837124402,1.07241265,2.46218886,"no appendage",0,"none",0.428009198423127,0.0222207621550591,19.2616794795979,4,"adhesive","adhesive",1.96179102199333,1.96179102199333,44.5444407197125,2.64848461891273,0.0168,NA,NA,0,0,1
"Amaranthus palmeri","AMAPAL","Amaranthaceae","forb","native",3.3968,3.3968,239.120918099847,100,0.0285190618703465,0.972704825,2.06314852,0.0285190618703465,0.972704825,2.06314852,"no appendage",0,"none",0.44097211363044,0.0293015376596299,15.0494529929734,4,"large mammal (internal)","ingestion",1.64641564437639,1.64641564437639,25.8426267202196,2.59113769893384,0.0118,NA,NA,0,1,1
"Amaranthus torreyi","AMATOR","Amaranthaceae","forb","native",3.5405,3.5405,255.836419587796,40,0.0203826812722625,0.966057675,2.31726174,0.0203826812722625,0.966057675,2.31726174,"no appendage",0,"none",0.426734757041164,0.0268740328071804,15.8790740527467,4,"large mammal (internal)","ingestion",1.52788092034869,1.52788092034869,25.8163532957642,2.7713545253299,0.0134,NA,NA,0,1,1
"Amsinckia intermedia","AMSINT","Boraginaceae","forb","native",19.38,19.38,268.562705499392,70.12,0.025141635001149,2.262259,9.1963874,0.025141635001149,2.262259,9.1963874,"no appendage",1,"none",0.404198128428525,0.0269474023878671,14.9995210154473,3,"bird","ingestion",2.10734924020273,2.10734924020273,63.2042757853967,1,0.0158,0.1224,0.1382,0,NA,NA
"Amsinckia menziesii","AMSMEN","Boraginaceae","forb","native",27.17,27.17,284.841726357238,38.2825,0.0337778839927966,3.20837495,17.2608514,0.0337778839927966,3.20837495,17.2608514,"no appendage",1,"none",0.211724137931035,0.0167060755336617,12.6734814232357,4,"adhesive","adhesive",1.57408226108707,1.57408226108707,77.0240301440855,1,0.0154,0.1144,0.1298,0,NA,NA
"Amsinckia tessellata","AMSTES","Boraginaceae","forb","native",37.94,37.94,284.88259657507,26.725,0.0468193280988843,3.37898595,17.2887362,0.0468193280988843,3.37898595,17.2887362,"no appendage",1,"none",0.464065547128927,0.0364707475622969,12.7243223171185,4,"adhesive","adhesive",2.19449238863394,2.19449238863394,54.4957788671024,1,0.0166,0.0768,0.0934,0,NA,NA
"Anagallis arvensis","ANAARV","Primulaceae","forb","invasive",3.7639,3.7639,280.031935190602,11.72332445,0.00922747563988367,1.174336,3.11141496,0.00922747563988367,1.174336,3.11141496,"no appendage",1,"none",0.505330016583748,0.0229850746268657,21.9851370851371,1,"unassisted","unassisted",1.20970685311611,1.20970685311611,31.5305685503771,0.812076126720362,0.0264,NA,NA,0,0,1
"Ancistrocarphus filagineus","ANCFIL","Asteraceae","forb","native",3.5959,3.5959,232.408888227843,3.4,0.074514625192341,1.9897243,4.26768892,0.074514625192341,1.9897243,4.26768892,"no appendage",0,"none",0.496955562559092,0.0572486605735897,8.68064960088081,4,"adhesive","adhesive",0.842587186509367,0.842587186509367,79.4233512332048,0.999793708096957,NA,0.0084,NA,0,NA,NA
"Anisocoma acaulis","ANIACA","Asteraceae","forb","native",9.6502,9.6502,194.293858698317,20,0.13401149067742,4.4624773,12.4590132,0.13401149067742,4.4624773,12.4590132,"elongated appendage",1,"hairs",0.53027428202646,0.0253694740238787,20.9020605443907,1,"unassisted","unassisted",0.774555724846652,0.774555724846652,24.0129459567716,1,NA,0.0628,NA,0,NA,NA
