Species,code,ldd2,wing.loading,coat.perm,E.S,coat.thick,mass.mg,set.time.mpsec,height.cm,shape,size,appendage type,smooth.coarse,appendage,prop.C,prop.N,cn,ldd,disp
Abronia villosa,ABRVIL,wind,20.3069581,240.4229103,0.986637101,0.012,213.86,215.7991285,80,0.073618605,2.9026046,flat appendage,1,wing,0.4226561534,0.02991341991,14.12931569,2,wind
Achyrachaena mollis,ACHMOL,wind,1.818753132,82.8800022,1,0.0612,40.29230769,208.2623491,14.25,0.153171069,7.36065015,flat appendage,1,pappus,0.4903537088,0.03545673077,13.8296368,2,wind
Achyronychia cooperi,ACHCOO,unassisted,1.07046812,48.94366966,NA,NA,1.2428,162.1922547,10,0.055025189,0.92617447,no appendage,0,none,0.4200377929,0.02685563114,15.64058542,1,unassisted
Acmispon americanus,ACMAME,unassisted,3.508831869,23.20905828,1,0.0216,51.31,279.5295516,16.75,0.037032266,2.7541505,no appendage,0,none,0.4436082793,0.0787364844,5.634087966,1,unassisted
Acmispon maritimus var. brevivexillus,ACMMARB,unassisted,2.476884038,69.29837863,0.9802353374,0.0436,23.15,287.1632821,3.94,0.029657746,2.1293152,no appendage,0,none,0.4654890739,0.06115764828,7.611297801,1,unassisted
Acmispon strigosus,ACMSTR,unassisted,2.562429707,16.92904726,0.9728982301,0.0302,15.7,280.7818567,26.5,0.011443142,1.60418735,no appendage,1,none,0.437846201,0.04797794118,9.125989783,1,unassisted
Acmispon wrangelianus,ACMWRA,ant,2.261594896,28.9427282,0.9234285714,0.039,23.06,237.2913509,8.919166667,0.033233962,2.344241,no appendage,0,none,0.4360772178,0.05288240495,8.246168422,2,ant
Aegilops triuncialis,AEGTRI,adhesive,11.92477333,49.45759826,0.3475616857,0.021,504.95,372.3381325,47.83333333,0.1263648505,7.3794839,elongated appendage,1,awn,0.4217866677,0.03333632571,12.7450699,4,adhesive
Agoseris heterophylla,AGOHET,wind,1.010612104,100.0655541,1,0.0686,4.1812,173.1200608,17.97333333,0.151317905,2.9912335,elongated appendage,1,plume,0.4247103357,0.03840026333,11.06008915,2,wind
Aliciella latifolia ssp. latifolia,ALILATL,unassisted,0.5342024051,101.28863,0.912969697,0.0042,0.556,122.7769248,20,0.02292827,0.73119042,no appendage,0,none,0.4043998727,0.03524036931,11.47547204,1,unassisted
